"A password and e-mailaddress makes it easier to purchase goods next time around. A safe password has a minimum of 8 characters and does contain at least one alphabetic and one numeric character.", "Met je wachtwoord en e-mailadres kun je de volgende keer gemakkelijk en sneller bestellen.<br />Het wachtwoord moet minimaal 6 characters lang zijn. Spaties aan begin of eind zullen worden genegeerd."
"Yes, Subscribe me to the newsletter", "Ja, ik ontvang graag de nieuwsbrief."
"Edit info", "wijzig"
"Personal details", "Persoonlijke gegevens"
"Are you placing an order for the first time?", "Bestel je voor de eerste keer bij ons?"
"Push the continue button to start your order. If you already have an account, you can use it to login and continue directly with your order.", "Door een account aan te maken kun je het bestel- en betalingsproces sneller doorlopen, meerdere verzendadressen opslaan, bestellingen bekijken en volgen en meer."
"Ive placed an order here before","Heb je eerder besteld op onze site?"
"Invoice address", "Factuur adres"
"Additional information", "Overige gegevens"
"Delivery", "Bezorgen"
"Where do you want to have your order been delivered?", "Waar wil je dat wij je bestelling afleveren?"
"On my invoice address: %s", "Ik wil mijn bestelling laten bezorgen op mijn factuuradres: %s"
"On another delivery address:", "Ik wil mijn bestelling laten bezorgen op een ander adres:"
"Shipping address", "Bezorgadres"
"Delivery costs", "Bezorgkosten"
"Payment", "Betalen"
"Password", "Wachtwoord"
"Confirm Password", "Wachtwoord bevestigen"
"Country", "Land"
"City", "Plaats"
"Yes, I agree with the terms and conditions", "Door op de knop afrekenen te klikken ga ik akkoord met de algemene voorwaarden."
"Pay and send order", "Afrekenen"
"You must agree with our terms and conditions if you want to place an order.", "Je moet akkoord gaan met onze voorwaarden om de bestelling af te kunnen ronden."
"Your order has been succesfully payed", "Uw bestelling is succesvol betaald"
"Proceed shopping", "Verder met winkelen"
"You will receive an order confirmation email with details of your order.", "Je ontvangt een e-mail ter bevestiging van je bestelling met de details van je bestelling."
"Proceed order", "Verder met bestellen"
"E-mailaddress", "E-mail adres"
"Cardnumber", "Kaartnummer"
"Please fill in your card number and e-mailaddress and we will retrieve your personal details", "Vul je kaartnummer, postcode en huisnummer in. De bij ons bekende gegevens worden voor je ingevuld."
"Retrieve details", "Gegevens ophalen"
"Continue to delivery", "Door naar bezorgen"
